,strat,gs,s_f_equ_long,s_loss,low_equ_bal,pa_dist_mean_long,l_we,adg_exposure,avg_max_stuck,avg_hrs_stuck_avg,pa_distance_max_long,most_loss
6649,60a99,-1.0,58307.89406468514,0.0,0.4743476205565477,1.0226749695121518,0.6756756756756755,0.23983846085465232,2135.478787878788,0.3323340835297052,5.143509214310742,1741.7664773656325
1657,0cbb4,-1.0,278999.7878942725,-347208.15652843524,0.6812111933052615,0.007197309027396375,1.0,0.2398325143887088,107.88181818181819,1.83955225570694,0.47249783473524815,1253.9109308519996
8769,f5a10,-1.0,68149.34487175316,0.0,0.2192722180714829,1.0370600404507988,1.0,0.23931484810592948,2349.9893939393946,0.3473023815277103,5.056981897880816,4658.379428949216
4532,16e92,-1.0,367318.50638030964,-642353.731566899,0.529197799112756,0.020618060429457487,1.0,0.23927742422403908,63.02121212121211,0.3428372937854276,0.8964818233979557,2995.4781582848746
1190,360fe,-1.0,327255.09073127253,-557771.5606133655,0.533543652153538,0.015525241301359627,1.0,0.23884899779095956,139.9227272727273,0.5873303984243287,0.9231370819272342,2237.33084048999
3611,3a64e,-1.0,644327.2740618251,-726810.4735457331,0.5620943656304764,0.008453310966401794,1.0,0.23851124785059644,21.99090909090909,0.9261353503734512,0.831118081439609,882.3175504810004
6094,e277c,-1.0,225594.36832173026,-166240.35848171057,0.7205933928770789,0.007522054638502056,0.7142857142857143,0.23842672277642907,14.345454545454544,1.0841908111855942,0.6580796803840301,343.84559956666294
7477,656f2,-1.0,196691.71551622797,-227024.51511098043,0.5960659516291543,0.011777020576740516,1.0,0.23837815293682957,99.52575757575757,0.9570422770648063,0.7133270072079304,804.1681919190146
1015,87a9b,-1.0,188086.15405806675,0.0,0.35646515282123353,0.6337253998494214,1.0,0.23829982483587273,1922.7015151515152,0.3004484723588346,3.4684078264683866,2433.401901595493
5839,fc1fc,-1.0,50771.66070535301,0.0,0.6006032033435363,1.251603247243215,0.5,0.2379589171130216,2698.519696969697,1.0649691949040216,6.094492158360672,872.1794617999977
3479,ffebb,-1.0,728560.1318779943,-557267.4785686637,0.5487215895450966,0.01399680970390458,1.0,0.23795570177553244,126.5121212121212,0.702183503176069,0.9217579887296986,1191.7318552999811
5585,eb8eb,-1.0,355921.0926233815,-1245829.5425976578,0.5384760186463311,0.025010019212605376,1.0,0.23788922757425157,227.85454545454547,0.7527934773974024,0.810307851326288,2081.8228194999683
95,92b97,-1.0,239399.98511841893,0.0,0.35485316127423167,0.6646806334353097,1.0,0.23780060623113916,1959.0727272727274,0.6477050321949788,4.291408404240609,2439.404083295558
9468,e9e7c,-1.0,219498.48915620465,-484652.20679154346,0.5726059139845033,0.013205425274296516,1.0,0.23744322191125786,132.37121212121212,0.6499231704547137,0.8090503473845344,1015.8842964260436
6500,e8ad8,-1.0,205792.51884310157,0.0,0.3215499251849027,0.9304408021659453,1.0,0.2372261672932373,2454.2606060606067,0.961525016772444,4.820484966932413,3666.094854757009
9278,ccbb7,-1.0,129073.71927894707,0.0,0.30616188014177265,0.6104834610500576,1.0,0.23705446355727053,1865.5863636363633,0.38140687828693437,3.759148734717412,3139.4648384092643
9017,3a665,-1.0,342177.7027429376,-471712.9501236612,0.6080493824533266,0.012093544493017862,1.0,0.23690654378873763,78.2378787878788,0.41070726740372193,0.6171956677229804,858.7714945660026
2578,9b2c5,-1.0,104311.15009284987,-86391.87069651317,0.679583857587428,0.014147809449671882,0.6756756756756755,0.23669756778362608,92.34848484848486,0.49635757754898696,0.9476042684972225,1520.0777640285016
8484,e9eda,-1.0,529291.7082588131,-937355.3136967721,0.6657053569782301,0.007636087508186645,1.0,0.23652418957284285,95.21666666666665,0.3857070873644567,0.399973570888628,-59.397688774973034
6689,5738d,-1.0,224399.22015840915,-348003.7781156926,0.5905997053702031,0.01224326747325469,1.0,0.23651870550310916,112.4409090909091,0.6143262895115584,0.7297086412224694,1725.84540652901
4764,6f200,-1.0,189687.26496906058,-158007.90824543592,0.6525845759470862,0.010662030561340227,1.0,0.2363673262172794,131.15757575757576,1.6702084265748658,0.5455994441124087,2180.9824688780004
278,8b1e3,-1.0,87328.59024432299,0.0,0.17966582365141678,1.6425554426002131,1.0,0.23636222424490755,3075.7348484848485,4.1535921908800635,7.5828634656182485,2703.0226987076953
5979,a8f4e,-1.0,192911.37030679826,-147956.61938910614,0.6530532140521738,0.01255647696788693,0.769230769230769,0.236175242048441,66.33939393939393,0.4246378423681867,0.863764789719281,1042.723556099987
6980,53730,-1.0,188649.89006319243,-585539.8844535641,0.48725355928124015,0.027045339025941195,1.0,0.23537838885529264,173.35303030303027,0.7597585754822788,1.0993144803141812,3025.068188187986
5405,b3b0a,-1.0,45851.18158387779,0.0,0.5876074815076014,1.6843700541411417,0.5,0.23510439516377152,3037.9939393939403,1.4262941556999196,7.62861268515296,905.6859982399991
4595,e7dc3,-1.0,98145.97725023332,0.0,0.2533274243680068,0.9375316495031473,1.0,0.23509427102996144,2050.8772727272726,0.5790580541463309,5.262204914390341,1891.6719913461231
7308,33fbb,-1.0,95051.08053161786,0.0,0.19268856975062024,1.339876212302588,1.0,0.23504363078155066,3454.392424242425,6.637403219869648,6.390688223878967,2486.1523765590046
6348,b4973,-1.0,250069.51649867356,-766579.0213685487,0.5961570605416032,0.022173987840658823,1.0,0.23491746237694394,311.189393939394,0.8554065413454442,0.5862013390606218,1476.707424400032
8567,f71dd,-1.0,289873.27772058366,-306026.5346898054,0.5205797043687399,0.014923579966840572,1.0,0.2347067142321337,105.17727272727271,0.6465443823658822,0.9875949520210461,2622.2881808659904
7801,66914,-1.0,248935.53333605052,-261833.80419053588,0.6030287487665459,0.014652095179177321,1.0,0.23456654504044175,121.35757575757576,1.1002896531617603,0.656164636045649,3037.337719499993
1005,9a86e,-1.0,213234.58062068766,0.0,0.3670237249088765,0.6794559885621272,1.0,0.23433867417757395,1790.2454545454545,0.6365760104899391,4.275709195048162,2514.3358185629254
9515,96572,-1.0,214410.10246510583,0.0,0.3031552660113474,0.7608824620926259,1.0,0.23429896286478635,1773.1848484848485,0.3810457796084872,3.7098262826668162,2378.428565462438
4164,247b6,-1.0,52315.50450949939,0.0,0.181105390440416,1.6261131878547415,1.0,0.23413506459085787,2715.75,4.606896371214067,7.356422149537543,4239.328557859995
